epoch,accuracy,learning_rate,loss,precision,recall,top_2_accuracy,val_accuracy,val_loss,val_precision,val_recall,val_top_2_accuracy
0,0.5551801919937134,0.0010000000474974513,1.2759755849838257,0.6242774724960327,0.4864864945411682,0.7781531810760498,0.6603773832321167,0.6811002492904663,0.680272102355957,0.6289308071136475,0.9748427867889404
1,0.6993243098258972,0.0010000000474974513,0.7829021215438843,0.7229064106941223,0.6610360145568848,0.920045018196106,0.6918238997459412,0.5849109888076782,0.6948052048683167,0.6729559898376465,0.9748427867889404
2,0.7353603839874268,0.0010000000474974513,0.6797398328781128,0.7591686844825745,0.6993243098258972,0.9448198080062866,0.7421383857727051,0.5811179280281067,0.7720588445663452,0.6603773832321167,0.955974817276001
3,0.7646396160125732,0.0010000000474974513,0.5918681621551514,0.7902264595031738,0.7466216087341309,0.9515765905380249,0.8427672982215881,0.44241252541542053,0.85161292552948,0.8301886916160583,0.9685534834861755
4,0.7578828930854797,0.0010000000474974513,0.5798112750053406,0.7819731831550598,0.7229729890823364,0.9583333134651184,0.8742138147354126,0.4211587607860565,0.8831169009208679,0.8553459048271179,0.9685534834861755
5,0.7759009003639221,0.0010000000474974513,0.5394159555435181,0.7992745041847229,0.744369387626648,0.9538288116455078,0.8993710875511169,0.32533738017082214,0.9102563858032227,0.893081784248352,0.9811320900917053
6,0.7668918967247009,0.0010000000474974513,0.5379446148872375,0.7879146933555603,0.7488738894462585,0.9718468189239502,0.7861635088920593,0.481635719537735,0.7933333516120911,0.74842768907547,0.9748427867889404
7,0.7770270109176636,0.0010000000474974513,0.5367968678474426,0.802395224571228,0.7545045018196106,0.9617117047309875,0.893081784248352,0.39039111137390137,0.9038461446762085,0.8867924809455872,0.9748427867889404
8,0.7646396160125732,0.0010000000474974513,0.5139625668525696,0.792067289352417,0.7421171069145203,0.9662162065505981,0.8238993883132935,0.451328843832016,0.835616409778595,0.7672955989837646,0.9811320900917053
9,0.7984234094619751,0.0010000000474974513,0.48318058252334595,0.8133803009986877,0.7804054021835327,0.9740990996360779,0.8113207817077637,0.5169875621795654,0.8246753215789795,0.7987421154975891,0.9622641801834106
10,0.7882882952690125,0.0005000000237487257,0.4529271721839905,0.8100358247756958,0.7635135054588318,0.9707207083702087,0.7924528121948242,0.49415040016174316,0.8199999928474426,0.7735849022865295,0.9685534834861755
11,0.8209459185600281,0.0005000000237487257,0.44579052925109863,0.8462469577789307,0.787162184715271,0.977477490901947,0.8427672982215881,0.4848845303058624,0.8471337556838989,0.8364779949188232,0.9748427867889404
12,0.7905405163764954,0.0005000000237487257,0.46340739727020264,0.8095808625221252,0.7612612843513489,0.9695945978164673,0.8427672982215881,0.4712057411670685,0.8427672982215881,0.8427672982215881,0.9685534834861755
13,0.795045018196106,0.0005000000237487257,0.43785253167152405,0.8175355195999146,0.7770270109176636,0.9695945978164673,0.8427672982215881,0.4908113181591034,0.8535031676292419,0.8427672982215881,0.9685534834861755
